"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 14, 2017","54.21","54.12","54.83","53.85","187.18K","0.50%"
"Dec 13, 2017","53.94","54.12","54.38","53.85","136.73K","-0.33%"
"Dec 12, 2017","54.12","54.21","54.83","54.12","109.82K","-0.17%"
"Dec 11, 2017","54.21","54.38","54.74","54.12","128.36K","-0.31%"
"Dec 10, 2017","54.38","54.47","54.92","54.29","97.27K","0.00%"
"Dec 07, 2017","54.38","54.83","55.18","54.21","196.34K","-0.66%"
"Dec 06, 2017","54.74","55.54","55.54","54.47","170.31K","-0.80%"
"Dec 05, 2017","55.18","54.65","56.16","54.56","570.78K","1.47%"
"Dec 04, 2017","54.38","54.92","55.01","54.29","211.15K","0.00%"
"Dec 03, 2017","54.38","54.74","55.10","54.29","330.69K","-0.17%"
"Nov 30, 2017","54.47","55.18","55.27","54.29","280.13K","-0.33%"
"Nov 29, 2017","54.65","55.45","55.45","54.47","332.99K","0.16%"
"Nov 28, 2017","54.56","55.63","56.16","54.21","494.13K","-2.40%"
"Nov 27, 2017","55.90","54.47","56.61","54.47","906.30K","3.46%"
"Nov 26, 2017","54.03","55.01","55.01","53.76","407.22K","-1.13%"
"Nov 23, 2017","54.65","54.92","55.63","54.29","213.46K","-0.33%"
"Nov 22, 2017","54.83","55.81","55.99","54.56","245.75K","-0.96%"
"Nov 21, 2017","55.36","55.99","56.70","54.92","280.23K","0.47%"
"Nov 20, 2017","55.10","55.63","56.79","54.65","277.54K","-0.63%"
"Nov 19, 2017","55.45","56.88","56.88","55.18","179.95K","-1.26%"
"Nov 16, 2017","56.16","57.50","57.50","56.07","176.92K","-1.72%"
"Nov 15, 2017","57.14","56.43","58.39","56.07","94.86K","2.22%"
"Nov 14, 2017","55.90","56.61","56.79","55.18","235.84K","-1.25%"
"Nov 13, 2017","56.61","57.59","57.77","56.34","141.48K","0.00%"
"Nov 12, 2017","56.61","57.50","57.85","56.34","121.76K","-2.14%"
"Nov 09, 2017","57.85","58.30","58.48","57.59","220.59K","-0.46%"
"Nov 08, 2017","58.12","58.21","58.83","57.85","123.69K","-0.77%"
"Nov 07, 2017","58.57","57.59","59.55","57.59","219.05K","1.54%"
"Nov 06, 2017","57.68","58.57","59.10","57.50","258.10K","-1.95%"
"Nov 05, 2017","58.83","58.74","59.81","58.39","71.29K","-0.61%"
"Nov 02, 2017","59.19","58.57","59.81","58.57","252.58K","2.32%"
"Nov 01, 2017","57.85","57.85","58.66","57.05","196.49K","1.17%"
